Ticker,Name,Sector,Market Cap (Millions),Beta,Timeliness,5-Year Average Dividend Yield,% Above 5-Year Average Dividend Yield,Dividend Yield,P/E Ratio,5-Year Average P/E Ratio,Dividend Safety,Dividend Growth (Latest),5-Year Dividend Growth,20-Year Dividend Growth,Dividend Growth Streak (Years),Uninterrupted Dividend Streak (Years),Ex-Dividend Date,Payment Frequency,Payout Ratio,Net Debt to Capital,Net Debt to EBITDA,Years of Positive Free Cash Flow in Last 10,Recession Dividend,Recession Return,Payment Schedule
NRG,NRG Energy,Utilities,9180.7,0.9,May be undervalued,0.51,593,3.53,6.9,10.9,48,8.3,16,,2,4,4/30/2021,quarterly,39,0.86,4.23,7,,-61,"Feb, May, Aug, Nov"
AFIN,American Finance Trust,Real Estate,983.3,1.05,May be undervalued,3.41,172,9.26,8.8,10.4,50,200,-27,,0,0,4/9/2021,quarterly,70,0.5,7.46,7,,,"Jan, Apr, Aug, Sep"
NEM,Newmont,Materials,55448.1,0.7,May be undervalued,1.45,119,3.18,18.7,24.7,54,38,71,13,1,5,6/2/2021,quarterly,59,0.05,0.14,8,Maintained,-17,"Mar, Jun, Sep, Dec"
TGP,Teekay LNG Partners,Energy,1372.3,0.73,May be undervalued,4.35,68,7.3,4.2,5,50,32,-15,,2,4,5/4/2021,quarterly,26,0.59,3.54,6,Increased,-41,"Feb, May, Aug, Nov"
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Staples,10852.9,0.78,May be undervalued,2.84,61,4.58,15.8,19,60,4,9,17,3,17,4/30/2021,semiannual,97,0.29,1.21,10,Increased,-36,"May, Nov"
NP,Neenah,Materials,885.1,0.93,May be undervalued,2.43,49,3.62,17,17.8,46,0,9,,10,15,5/13/2021,quarterly,79,0.4,1.68,10,Maintained,-85,"Mar, Jun, Sep, Dec"
RMR,RMR Group,Real Estate,678.5,1.05,May be undervalued,2.57,44,3.7,22.2,23.1,43,0,,,4,4,4/23/2021,quarterly,98,0,0,6,,,"Feb, May, Aug, Nov"
WEYS,Weyco,Consumer Discretionary,208.8,0.81,May be undervalued,3.22,38,4.45,,19.6,45,0,4,10,39,39,5/27/2021,quarterly,-112,0,0.01,9,Increased,-34,"Mar, Jun, Sep, Dec"
NWBI,Northwest Bancshares,Financials,1823.5,0.8,May be undervalued,4.13,36,5.61,14.3,16.1,50,5.3,6,13,10,24,5/5/2021,quarterly,65,0,,10,Maintained,-51,"Feb, May, Aug, Nov"
WBA,Walgreens Boots Alliance,Consumer Staples,46884.8,0.66,May be undervalued,2.56,35,3.47,10.8,10.7,79,2.2,6,14,45,45,5/20/2021,quarterly,42,0.65,3.77,10,Increased,-44,"Mar, Jun, Sep, Dec"
SWX,Southwest Gas Holdings,Utilities,3883.2,0.41,May be undervalued,2.65,35,3.57,15.1,20.9,91,4.4,7,5,14,28,8/13/2021,quarterly,49,0.53,4,2,Increased,-37,"Mar, Jun, Sep, Dec"
UNM,Unum,Financials,6190.5,1.31,May be undervalued,2.88,32,3.79,6,6.7,50,0,10,3,12,16,4/29/2021,quarterly,25,0.24,2.56,10,Increased,-68,"Feb, May, Aug, Nov"
XOM,Exxon Mobil,Energy,272343.6,0.98,May be undervalued,4.16,30,5.41,16.6,20.1,55,0,4,7,38,38,5/12/2021,quarterly,-1740,0.31,1.56,9,Increased,-28,"Mar, Jun, Sep, Dec"
MO,Altria,Consumer Staples,88645.6,0.67,May be undervalued,5.72,27,7.23,10.2,13.3,55,2.4,9,3,51,51,6/14/2021,quarterly,79,0.89,2,10,Increased,-20,"Jan, Apr, Jul, Oct"
OKE,ONEOK,Energy,24941.1,1.23,May be undervalued,5.25,26,6.62,10.8,13.8,54,0,9,13,19,21,4/23/2021,quarterly,82,0.7,4.35,4,Increased,-60,"Feb, May, Aug, Nov"
MMP,Magellan Midstream Partners,Energy,11746.9,0.73,May be undervalued,6.18,26,7.78,10.9,12.5,61,0,6,,19,19,5/6/2021,quarterly,91,0.7,3.71,10,Increased,-30,"Feb, May, Aug, Nov"
